"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0934","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,2,3,929.376767084137
"2","DSC_0937","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,5,3,913.335136523794
"3","DSC_0944","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,1,3,860.908729652601
"4","DSC_0952","Bovidae","Neotragini","Raphicerus","campestris","LM2",-1,0,5,3,868.523953341751
"5","DSC_0956","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,1,3,2723.68665043851
"6","DSC_0962","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,3,1,2731.43686707646
"7","DSC_0967","Bovidae","Hippotragini","Oryx","gazella","LM2",-2,0,4,3,2171.84898859778
"8","DSC_0971","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,5,3,2482.20641969816
"9","DSC_0975","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,4,1,3010.42171517481
"10","DSC_0980","Bovidae","Hippotragini","Oryx","gazella","LM2",-2,0,5,1,2299.14545315406
"11","DSC_0984","Bovidae","Hippotragini","Oryx","gazella","LM2",0,0,4,3,2581.54451481478
"12","DSC_0987","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,2,2,3154.01969492125
"13","DSC_0992","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,1,4,2826.35569799683
"14","DSC_0997","Bovidae","Hippotragini","Oryx","gazella","LM2",1,0,4,2,3281.65930522804
"15","DSC_1002","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,5,1,3146.19631843039
"16","DSC_1007","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,2,2,2871.56175875749
"17","DSC_1012","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,4,5,3146.59833868395
"18","DSC_1017","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,5,3,3344.46334573515
"19","DSC_1022","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,1,3,3700.22784772297
"20","DSC_1027","Bovidae","Hippotragini","Hippotragus","equinus","LM2",1,0,2,2,3160.76486092532
"21","DSC_1032","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,5,2,2287.21147033204
"22","DSC_1037","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,5,2,2534.62568389442
"23","DSC_1042","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,4,5,2853.15973850393
"24","DSC_1047","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,3,2,2314.89271119917
"25","DSC_1051","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,1,1,2526.44191771034
"26","DSC_1056","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,2,3,3438.20346110533
"27","DSC_1062","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,1,1,2287.67236508864
"28","DSC_1067","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,3,4,3074.92424049175
"29","DSC_1072","Bovidae","Hippotragini","Hippotragus","niger","LM2",1,0,4,4,2791.42676580869
"30","DSCN2611","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,5,2175.97388027881
"31","DSCN2615","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,3,2,2216.96882964492
"32","DSCN2619","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,4,2282.05714139949
"33","DSCN2623","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,1,2082.60129727678
"34","DSCN2627","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,1,2061.74848353439
"35","DSCN2631","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,2,2251.69675170628
"36","DSCN2635","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,5,2299.27748751002
"37","DSCN2639","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,1,1,2105.14545315406
"38","DSCN2643","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,4,3,2077.97388027881
"39","DSCN2647","Bovidae","Alcelaphini","Connochaetes","gnou","LM2",1,0,2,3,2222.7261889578
