"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0675","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,1,932.648845022779
"2","DSC_0686","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,5,1092.00418408211
"3","DSC_0690","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,2,1,428.433549546129
"4","DSC_0693","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,2,1006.63160108008
"5","DSC_0697","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,1,1,4,982.121933088198
"6","DSC_0700","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,5,3,295.036579926459
"7","DSC_0703","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,1,3,959.938166904124
"8","DSC_0709","Bovidae","Neotragini","Raphicerus","campestris","UM1",1,0,3,5,1110.06305858515
"9","DSC_0716","Bovidae","Neotragini","Raphicerus","campestris","UM1",-1,0,2,1,918.707719525824
"10","DSC_0722","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,5,5,2349.50584284727
"11","DSC_0729","Bovidae","Hippotragini","Oryx","gazella","UM1",-1,0,2,4,5920.28498912246
"12","DSC_0734","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,1,2571.12525061853
"13","DSC_0736","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,3,1,3019.59328805006
"14","DSC_0739","Bovidae","Hippotragini","Oryx","gazella","UM1",0,0,4,5,2526.94444302728
"15","DSC_0745","Bovidae","Hippotragini","Oryx","gazella","UM1",-1,0,5,5,2498.30692476155
"16","DSC_0749","Bovidae","Hippotragini","Oryx","gazella","UM1",-2,0,5,4,2634.40742982494
"17","DSC_0752","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,5,5,2522.96882964492
"18","DSC_0758","Bovidae","Hippotragini","Oryx","gazella","UM1",-1,0,4,3,2333.50584284727
"19","DSC_0763","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,2,5,3215.6176746677
"20","DSC_0766","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,4,2946.95872837716
"21","DSC_0772","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,4,2,3637.28167159213
"22","DSC_0778","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,4,1,2581.89776183306
"23","DSC_0783","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,2,2816.10591463477
"24","DSC_0789","Bovidae","Hippotragini","Oryx","gazella","UM1",-2,0,3,3,2273.36370722354
"25","DSC_0795","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,5,1,2529.45411101916
"26","DSC_0800","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,4,3,2495.08657865101
"27","DSC_0806","Bovidae","Hippotragini","Oryx","gazella","UM1",1,0,1,3,3006.5567081236
"28","DSC_0815","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,2,3,3474.24509166567
"29","DSC_0821","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,5,3800.37712602164
"30","DSC_0828","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,5,3,3500.71312909721
"31","DSC_0837","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,1,5,2717.82164338731
"32","DSC_0843","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,2,1,3160.848122046
"33","DSC_0849","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,2,2634.29978208661
"34","DSC_0855","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,2,3503.80144085178
"35","DSC_0861","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,5,3,4027.71522113826
"36","DSC_0867","Bovidae","Hippotragini","Hippotragus","equinus","UM1",1,0,4,1,3238.94862710939
"37","DSC_0873","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,2,5,2530.83383669613
"38","DSC_0879","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,2,5,2897.81154211954
"39","DSC_0885","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,4,4,2845.74552494156
"40","DSC_0890","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,3,5,2962.29682349378
"41","DSC_0893","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,3,2,2638.24090758356
"42","DSC_0899","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,5,3,2771.98102295374
"43","DSC_0905","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,5,5,2248.67741572252
"44","DSC_0911","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,4,1,2857.36074863071
"45","DSC_0916","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,3,2,2961.08362005818
"46","DSC_0922","Bovidae","Hippotragini","Hippotragus","niger","UM1",1,0,1,4,3195.87041662259
"47","DSCN2520","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,4,5,2229.72409691675
"48","DSCN2529","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,2,3,2112.91291373471
"49","DSCN2538","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,2,4,1907.4915574974
"50","DSCN2542","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,4,5,1919.61644917843
"51","DSCN2549","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",-2,0,5,2,1946.90577105977
"52","DSCN2553","Bovidae","Alcelaphini","Connochaetes","gnou","UM1",1,0,4,4,1976.40324574283
